"CompanyCode","Product","ProductType","ProductDescription","BaseUnit","VolumeUnit","NetWeight","GrossWeight","IsMarkedForDeletion","ProcessDate","MeasureunitID","MeasureunitID","Plant","ToleranceValue","District","IsGeneric","StandardPrice","SupplierAccountGroup","ValidityEndDate","MATERIALTYPEID","MATERIALGROUP","IsMarkedForDeletion"
5700,1012080,,"POTE GRAN COMPRA Entero - Vainilla x 140 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                 "
5700,1012081,,"Pote impreso García Preformado Vainilla",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                     "
5700,1012082,,"POTE GRAN COMPRA Entero - Frutilla x 140 gr",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                 "
5700,1012083,,"Pote impreso García Preformado Frutilla",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                     "
5700,1012084,,"POTE GRAN COMPRA con cereal - 158 gr (145 + 13)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                             "
5700,1012085,,"POTE GRAN COMPRA c/cereal x 154 gr (140+14) - Impreso - AMEBA (676)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                         "
5700,1012086,,"POTE GRAN COMPRA Natural C/Cereal x (145 + 14 cereal) - FERRO",,,,,,02/05/2023,,,,,,,,,,,,"                                                                               "
5700,1012087,,"POTE GRAN COMPRA c/cereal x 154 gr (140+14)- Impreso - SIRENITA (1189)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                      "
5700,1012088,,"POTE GRAN COMPRA Descremado C/Cereal NATURAL x (145+12 cereal)-DEFENSA",,,,,,02/05/2023,,,,,,,,,,,,"                                                                      "
5700,1012090,,"POTE impreso SER FIRME VAINILLA x 190 gr - Clean",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                            "
5700,1012091,,"POTE impreso SER FIRME FRUTILLA x 190 gr - Clean",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                            "
5700,1012092,,"POTE impreso SER CORN FLAKES x 149 gr (135 base + 14 cereal) - Clean",,,,,,02/05/2023,,,,,,,,,,,,"                                                                        "
5700,1012093,,"POTE impreso SER TOTAL con fruta x 158 gr - Clean",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                           "
5700,1012094,,"POTE impreso SER TROPICAL x 155 gr - Clean",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                  "
5700,1012095,,1012095,,,,,,"POTE impreso SER CRUNCH BERRIES x 155 gr - Clean",,,,,,,,,,,,45048
5700,1012105,,"POTE SER COLCHON FRUTILLA-CHIA x 160 gr - Superfob 2019",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                     "
5700,1012106,,"POTE SER COLCHON MORA-JENGIBRE x 160 gr - Superfob 2019",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                     "
5700,1012107,,"POTE SER COLCHON KIWI-TE VERDE x 160 gr - Superfob 2019",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                     "
5700,1012108,,"POTE LSC - FIRME DESCREMADO VAINILLA x 190 gr - impreso - ISABELLA",,,,,,02/05/2023,,,,,,,,,,,,"                                                                          "
5700,1012109,,"POTE LSC - FIRME DESCREMADO FRUTILLA x 190 gr - impreso - ISABELLA",,,,,,02/05/2023,,,,,,,,,,,,"                                                                          "
5700,1012110,,"POTE YSS FIRME VAINILLA x 140 gr - PASCUAL - impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                        "
5700,1012112,,"POTE YSS FIRME FRUTILLA x 140 gr - PASCUAL - impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                        "
5700,1012114,,"POTE YSS FIRME DURAZNO x 140 gr - PASCUAL - impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                         "
5700,1012115,,"POTE SER CORN FLAKES x 166 gr - Impreso (150 base+16 cereal) NF",,,,,,02/05/2023,,,,,,,,,,,,"                                                                             "
5700,1012116,,"POTE SER CORN FLAKES x 166 gr - Impreso (150 base + 16 cereal)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                              "
5700,1012117,,"POTE SER FIRME VAINILLA x 190 gr con Vitamina B3- Impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                   "
5700,1012118,,"POTE SER FIRME FRUTIILLA x 190 gr con Vitamina B3- Impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                  "
5700,1012120,,"POTE SER CORN FLAKES con miel x 164gr - Impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                             "
